GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MiProyectoSwing,Logica,RutaVuelo.EstadoRuta,0,21,0,0,0,4,0,1,0,1
MiProyectoSwing,Logica,Usuario,51,49,2,2,15,16,11,6,9,6
MiProyectoSwing,Logica,ManejadorCiudad,101,0,8,0,27,0,10,0,6,0
MiProyectoSwing,Logica,Pasajero,26,0,0,0,9,0,6,0,6,0
MiProyectoSwing,Logica,Sistema,1425,0,142,0,329,0,131,0,60,0
MiProyectoSwing,Logica,ManejadorAerolinea,407,0,46,0,121,0,40,0,17,0
MiProyectoSwing,Logica,ItemPaquete,58,0,4,0,18,0,9,0,7,0
MiProyectoSwing,Logica,PasswordManager,18,31,0,0,5,8,2,2,2,2
MiProyectoSwing,Logica,Ciudad,78,0,0,0,27,0,16,0,16,0
MiProyectoSwing,Logica,Reserva,109,0,4,0,28,0,16,0,14,0
MiProyectoSwing,Logica,Aerolinea,26,184,10,10,2,49,11,11,1,11
MiProyectoSwing,Logica,ManejadorCliente,533,0,76,0,135,0,56,0,18,0
MiProyectoSwing,Logica,TipoAsiento,15,0,0,0,3,0,1,0,1,0
MiProyectoSwing,Logica,TipoDoc,21,0,2,0,6,0,3,0,2,0
MiProyectoSwing,Logica,ManejadorCategoria,79,0,6,0,24,0,9,0,6,0
MiProyectoSwing,Logica,ManejadorVuelo,275,0,24,0,74,0,29,0,17,0
MiProyectoSwing,Logica,Cliente,205,0,6,0,54,0,24,0,21,0
MiProyectoSwing,Logica,Fabrica,31,0,4,0,11,0,6,0,4,0
MiProyectoSwing,Logica,Vuelo,278,0,10,0,66,0,26,0,21,0
MiProyectoSwing,Logica,RutaVuelo,221,143,27,5,40,37,25,26,9,26
MiProyectoSwing,Logica,ManejadorPaquete,422,0,36,0,110,0,30,0,12,0
MiProyectoSwing,Logica,Paquete,181,0,14,0,45,0,23,0,16,0
MiProyectoSwing,Logica,ManejadorRutaVuelo,331,0,40,0,96,0,34,0,14,0
MiProyectoSwing,Logica,Categoria,16,0,0,0,8,0,4,0,4,0
MiProyectoSwing,Logica,CompraPaqLogica,62,0,0,0,19,0,13,0,13,0
MiProyectoSwing,DataTypes,DtCliente,104,0,0,0,35,0,17,0,17,0
MiProyectoSwing,DataTypes,DtCiudad,78,0,0,0,33,0,16,0,16,0
MiProyectoSwing,DataTypes,DtAerolinea,75,0,0,0,26,0,10,0,10,0
MiProyectoSwing,DataTypes,DtVuelo,66,0,0,0,21,0,11,0,11,0
MiProyectoSwing,DataTypes,DtUsuario,77,0,0,0,27,0,14,0,14,0
MiProyectoSwing,DataTypes,DtReserva,98,0,2,0,29,0,12,0,11,0
MiProyectoSwing,DataTypes,DtPasajero,32,0,0,0,13,0,7,0,7,0
MiProyectoSwing,DataTypes,DtCategoria,19,0,0,0,9,0,5,0,5,0
MiProyectoSwing,DataTypes,DtPaquete,219,0,16,0,64,0,25,0,17,0
MiProyectoSwing,DataTypes,DtRutaVuelo,85,66,0,0,27,23,11,7,11,7
MiProyectoSwing,DataTypes,DtItemPaquete,42,0,0,0,17,0,9,0,9,0
